clienteID,churn,genero,tercera_edad,tiene_pareja,tiene_dependientes,antiguedadContrato_Meses,telefono_suscripcion,telefono_lineas_multiples,internet_suscripcion,seguridadOnline_suscripcion,backupOnline_suscripcion,proteccionDispositivos_suscripcion,soporteTecnico_suscripcion,tvDigital_suscripcion,peliculasDigitales_suscripcion,tipo_contrato,factura_digital,metodo_pago,cargos_mensuales,cargos_totales,pago_automatico,tipo_servicio_internet,cargos_diarios,ambasSuscripciones
0002-ORFBO,False,F,False,True,True,9,True,False,True,False,True,False,True,True,False,ANUAL,True,CHEQUE POSTAL,65.6,593.3,False,DSL,2.1866666666666665,True
0003-MKNFE,False,M,False,False,False,9,True,True,True,False,False,False,False,False,True,MENSUAL,False,CHEQUE POSTAL,59.9,542.4,False,DSL,1.9966666666666666,True
0004-TLHLJ,True,M,False,False,False,4,True,False,True,False,False,True,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,73.9,280.85,False,FIBRA OPTICA,2.4633333333333334,True
0011-IGKFF,True,M,True,True,False,13,True,False,True,False,True,True,False,True,True,MENSUAL,True,CHEQUE ELECTRONICO,98.0,1237.85,False,FIBRA OPTICA,3.2666666666666666,True
0013-EXCHZ,True,F,True,True,False,3,True,False,True,False,False,False,True,True,False,MENSUAL,True,CHEQUE POSTAL,83.9,267.4,False,FIBRA OPTICA,2.796666666666667,True
0013-MHZWF,False,F,False,False,True,9,True,False,True,False,False,False,True,True,True,MENSUAL,True,TARJETA CREDITO,69.4,571.45,True,DSL,2.3133333333333335,True
0013-SMEOE,False,F,True,True,False,71,True,False,True,True,True,True,True,True,True,BIENAL,True,TRANSFERENCIA BANCARIA,109.7,7904.25,True,FIBRA OPTICA,3.6566666666666667,True
0014-BMAQU,False,M,False,True,False,63,True,True,True,True,False,False,True,False,False,BIENAL,True,TARJETA CREDITO,84.65,5377.8,True,FIBRA OPTICA,2.8216666666666668,True
0015-UOCOJ,False,F,True,False,False,7,True,False,True,True,False,False,False,False,False,MENSUAL,True,CHEQUE ELECTRONICO,48.2,340.35,False,DSL,1.6066666666666667,True
0016-QLJIS,False,F,False,True,True,65,True,True,True,True,True,True,True,True,True,BIENAL,True,CHEQUE POSTAL,90.45,5957.9,False,DSL,3.015,True
0017-DINOC,False,M,False,False,False,54,False,False,True,True,False,False,True,True,False,BIENAL,False,TARJETA CREDITO,45.2,2460.55,True,DSL,1.5066666666666668,False
0017-IUDMW,False,F,False,True,True,72,True,True,True,True,True,True,True,True,True,BIENAL,True,TARJETA CREDITO,116.8,8456.75,True,FIBRA OPTICA,3.893333333333333,True
